theme,theme_zh,market,symbol,name,category,proxy_type,note
AI / Semiconductors,AI／半導體,US,NVDA,NVIDIA,Stock,stock,Proxy-based heat
AI / Semiconductors,AI／半導體,US,AMD,AMD,Stock,stock,Proxy-based heat
AI / Semiconductors,AI／半導體,US,AVGO,Broadcom,Stock,stock,Proxy-based heat
AI / Semiconductors,AI／半導體,US,TSM,TSMC ADR,Stock,stock,Proxy-based heat
AI / Semiconductors,AI／半導體,US,SMH,VanEck Semiconductor ETF,ETF,etf,Proxy-based heat
AI / Semiconductors,AI／半導體,US,SOXX,iShares Semiconductor ETF,ETF,etf,Proxy-based heat
Mega-cap Tech,大型科技股,US,AAPL,Apple,Stock,stock,Proxy-based heat
Mega-cap Tech,大型科技股,US,MSFT,Microsoft,Stock,stock,Proxy-based heat
Mega-cap Tech,大型科技股,US,AMZN,Amazon,Stock,stock,Proxy-based heat
Mega-cap Tech,大型科技股,US,META,Meta,Stock,stock,Proxy-based heat
Mega-cap Tech,大型科技股,US,GOOGL,Alphabet,Stock,stock,Proxy-based heat
Mega-cap Tech,大型科技股,US,QQQ,Nasdaq 100 ETF,ETF,etf,Proxy-based heat
Robotics / Automation,機器人／自動化,US,BOTZ,Global X Robotics ETF,ETF,etf,Proxy-based heat
Robotics / Automation,機器人／自動化,US,ROBO,ROBO Global Robotics ETF,ETF,etf,Proxy-based heat
Robotics / Automation,機器人／自動化,US,IRBO,iShares Robotics ETF,ETF,etf,Proxy-based heat
Nuclear / Uranium / Power,核能／鈾礦／電力,US,URA,Global X Uranium ETF,ETF,etf,Proxy-based heat
Nuclear / Uranium / Power,核能／鈾礦／電力,US,CCJ,Cameco,Stock,stock,Proxy-based heat
Nuclear / Uranium / Power,核能／鈾礦／電力,US,CEG,Constellation Energy,Stock,stock,Proxy-based heat
Nuclear / Uranium / Power,核能／鈾礦／電力,US,GEV,GE Vernova,Stock,stock,Proxy-based heat
Defense,防禦軍工,US,LMT,Lockheed Martin,Stock,stock,Proxy-based heat
Defense,防禦軍工,US,RTX,RTX,Stock,stock,Proxy-based heat
Defense,防禦軍工,US,NOC,Northrop Grumman,Stock,stock,Proxy-based heat
Defense,防禦軍工,US,ITA,iShares Aerospace Defense ETF,ETF,etf,Proxy-based heat
Cybersecurity,資安,US,CRWD,CrowdStrike,Stock,stock,Proxy-based heat
